"conversation_id_str","created_at","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username"
"1779057797172515088","Sat Apr 13 08:03:26 +0000 2024","0","bjir ak lupa pake mars perindo ku buat lagu pembuka??? ywdh deh dh saatnya ak melupakanmu","1779057797172515088","","","in","dnf","0","1","0","https://x.com/makieluv/status/1779057797172515088","1742067833650241536","makieluv"
"1778983547812151348","Sat Apr 13 07:37:41 +0000 2024","0","@sunxhoonn Harus hapal mars perindo","1779051317526503740","","sunxhoonn","in","","0","1","0","https://x.com/cchaewond/status/1779051317526503740","1587353902072008704","cchaewond"
"1779050579484090797","Sat Apr 13 07:34:45 +0000 2024","1","Setelah bertemu Ketua DPD Partai Hanura NTT Refafi Gah Frans Aba bertandang ke Sekretariat DPW Partai Perindo NTT. https://t.co/HKlS2ljLPs","1779050579484090797","","","in","Kupang, Indonesia","0","0","1","https://x.com/poskupangcom/status/1779050579484090797","106976813","poskupangcom"
"1778287947307196631","Sat Apr 13 03:17:34 +0000 2024","1","@GujRashidi @Marchfoward Kemarin di pemilihan kepala daerah adaa 4 Calon Kandidat dari partai Perindo yang terbukti sempat Like postingan IG akun yg Suport israel dan 4 kandidat tsb tidak ada yg dipilih masyarakat langsung di blacklist.","1778985854792556576","","GujRashidi","in","","0","1","0","https://x.com/afrizal_rustan/status/1778985854792556576","1622285553755656193","afrizal_rustan"
"1778976812812669127","Sat Apr 13 02:41:38 +0000 2024","1","Tanda Cinta Vokal: Ahmadhusein5 https://t.co/Dn4veLhSNe lewat @YouTube","1778976812812669127","","","in","","0","0","0","https://x.com/AhmadPerindo/status/1778976812812669127","1449456776504512516","AhmadPerindo"
"1778653792013259017","Sat Apr 13 01:35:17 +0000 2024","0","@gustavssondhela @ListyoSigitP @DivHumas_Polri Udh basi vidio ini masih aja ada org yg memprovokator beginilah akun2 yg kelaparan cari makan kek gini ","1778960115489812675","","gustavssondhela","in","","0","1","0","https://x.com/PemudaPerindo3/status/1778960115489812675","1603743926082744320","PemudaPerindo3"
"1778603595161907425","Sat Apr 13 00:51:54 +0000 2024","0","@Tendy_KeyBass @i_kasna @Miduk17 Ente yg cacat berfikir Apa gunanya bikin Partai jika yg dicalonkan bukan kader terbaik bahwa kader terbaik itu Ketumnya. Ngapain juga Surya Paloh Bikin NasDem Hary Tanoesoedibjo bikin Perindo kalau tdk ada ambisi jd Presiden.","1778949196038709580","","Tendy_KeyBass","in","Bojonegoro, Indonesia","0","1","0","https://x.com/sarju2170/status/1778949196038709580","715425736689995776","sarju2170"
"1778867111248769078","Fri Apr 12 19:25:43 +0000 2024","0","Ini sdh nyata hancur...kedepan yakin bernasib sama dgn partai perindo","1778867111248769078","","","in","","0","0","0","https://x.com/bangmustaja/status/1778867111248769078","1759149919162802176","bangmustaja"
"1778847116900937862","Fri Apr 12 18:06:16 +0000 2024","1","Fan dulu EPL di Perindo Group Serie A di Indosiar LaLiga di Bakrie. Tiap liga jadi ada vibes tersendiri kayak seolah chanel tv nya punya filter layarnya yg bikin beda buat ditonton. Skrg semua di Vidio mau liga apa aja tampilannya sama ","1778847116900937862","","","in","","0","0","2","https://x.com/addogerardo/status/1778847116900937862","120027270","addogerardo"
"1778829337367871649","Fri Apr 12 16:55:37 +0000 2024","0","demi langsung keputer drunk text sendiri ajg setelah perindo https://t.co/AZ4LLloyrF","1778829337367871649","","","in","dnf","0","0","0","https://x.com/makieluv/status/1778829337367871649","1742067833650241536","makieluv"
"1778799163834298831","Fri Apr 12 16:41:57 +0000 2024","0","@KABAR_CHELSEA Sebelum hary tanoe bikin perindo","1778825897724056033","","KABAR_CHELSEA","in","","0","0","0","https://x.com/SyauqiEzra/status/1778825897724056033","346904145","SyauqiEzra"
"1778819252742676938","Fri Apr 12 16:15:33 +0000 2024","0","Wakakwkak emg nama versi myday indo tuh lebih lidah indo friendly yaa madesu persib perindo sama wonpil mania ","1778819252742676938","","","in","jodoh seungcheol","0","0","0","https://x.com/ssupermarss/status/1778819252742676938","3538556533","ssupermarss"
"1778807833666163156","Fri Apr 12 15:30:10 +0000 2024","0","Overheard tadi sore pas lagi ke S*perindo : Mah aku mau ini dong : Lho itu kan ga boleh karena diboikot : Tapi temen aku beli ini : Ya walaupun temen2 kamu beli ini kamu ga usah ikut2an Sebenernya ga gmn2 sih cuma lucu aja denger percakapan perboikotan ini ","1778807833666163156","","","in","Is it really matter?","0","0","0","https://x.com/kaykayukay/status/1778807833666163156","312448193","kaykayukay"
"1778777358809596115","Fri Apr 12 13:47:16 +0000 2024","0","@fatherfcker2 kirain perindo","1778781935021826357","","fatherfcker2","in","","0","1","0","https://x.com/ngabbersz/status/1778781935021826357","1412044289882816518","ngabbersz"
"1778767851417133299","Fri Apr 12 12:52:38 +0000 2024","0","@niellsszz_ kalo mydayina mah perindo persib persija sama persatuan istri wonpil APA NAMANYA AKU LUPA","1778768188194660499","","niellsszz_","in","Norway, IN","0","1","0","https://x.com/sungjinitism/status/1778768188194660499","1380063437007454209","sungjinitism"
"1778184438545064350","Fri Apr 12 12:27:46 +0000 2024","0","@MEENOIgol Mars perindo sampe ketiduran ya biar bangun bangun jadi caleg","1778761930351788528","","todYVES","in","","0","0","0","https://x.com/accketemu/status/1778761930351788528","1275070468739854339","accketemu"
"1778717121171836936","Fri Apr 12 09:37:17 +0000 2024","0","@shenina__dream Kucing lesbian - maya jasika Geprek bensu - ruben onsu Mars perindo (buat opening)","1778719027013341311","","emma__scape","in","","1","2","0","https://x.com/remmasong/status/1778719027013341311","3299620058","remmasong"
"1778665845662843229","Fri Apr 12 09:04:47 +0000 2024","13","@nanndd @songil oalah makasih kak nanda wkwkwk berarti ga jauh lah ya sama perindo ( persatuan istri dowoon ) persib dll wwkwk","1778710848355393822","","nanndd","in","가끔씩 오래보자 ❣ ° ","0","1","0","https://x.com/apeachnuna/status/1778710848355393822","102874185","apeachnuna"
"1778709177076175297","Fri Apr 12 08:58:09 +0000 2024","0","Perindo Akan Buka Penjaringan Bakal Calon Bupati dan Wakil Bupati Halmahera Barat 2024-2029 https://t.co/KMEXysdMSh","1778709177076175297","","","in","Ternate","0","0","0","https://x.com/Tribun_Ternate/status/1778709177076175297","1667089665554513921","Tribun_Ternate"
"1778665845662843229","Fri Apr 12 06:24:32 +0000 2024","124","@apeachnuna Meanwhile indo MADESU PERSIB WONPILMANIA PERINDO tiba2 bengek dengan perbedaan nama ini","1778670518121730424","","apeachnuna","in","","11","3","22","https://x.com/lezgetitbribrii/status/1778670518121730424","1507579638377512960","lezgetitbribrii"
"1778322706142048748","Fri Apr 12 03:57:16 +0000 2024","0","@ker_asa @RomitsuT @Official_MNCTV Oalah. Digusur keluarga PERINDO itu??","1778633458845450562","","ker_asa","in","","0","0","0","https://x.com/Blue_Shoe_Cant/status/1778633458845450562","1557030741669990400","Blue_Shoe_Cant"
"1778501417235320875","Thu Apr 11 21:49:54 +0000 2024","0","@aichloee daripada perindo di perut msh nda bangun juga","1778541008575435222","","aichloee","in","UA’23","0","0","0","https://x.com/naladelreey/status/1778541008575435222","1616035385993486337","naladelreey"
"1778513313363821023","Thu Apr 11 19:59:51 +0000 2024","1","tadi malem mimpi masuk unit kuliah terus buat membuktikan semangat masuk unit disuru nyanyiin lagu dan gw milih lagu mars partai perindo...","1778513313363821023","","","in","bacot life moment","0","1","0","https://x.com/ongskifinski/status/1778513313363821023","844515583374737410","ongskifinski"
"1778447196498841938","Thu Apr 11 15:37:08 +0000 2024","0","MARS PERINDO.. KENAPA SI RANDOM BET","1778447196498841938","","","in","","0","0","0","https://x.com/dersik_eunoia/status/1778447196498841938","1434695179026382856","dersik_eunoia"
"1778429955782906013","Thu Apr 11 15:22:10 +0000 2024","1","@nesafess_ mars perindo asli mood booster bgt","1778443433063100465","","nesafess_","in","di sini","0","1","0","https://x.com/pedesgapakecabe/status/1778443433063100465","1748036508630843394","pedesgapakecabe"
"1778331531339333855","Thu Apr 11 08:50:48 +0000 2024","0","@kontolpatrick ketauan dukung perindo?","1778344940822770107","","","in","Indonesia","0","0","0","https://x.com/SitiKusmini19/status/1778344940822770107","163349394","SitiKusmini19"
"1776959522621595989","Thu Apr 11 08:37:06 +0000 2024","0","@wonwoonnu @wjyunhui @Dekaeptta @svtwujihoon ayo semua hafalin mars perindo dulu","1778341493251658220","","wonwoonnu","in","SVTEAM; de'Poseidon; Pondok17","0","1","0","https://x.com/wihoshi/status/1778341493251658220","1233962752307130368","wihoshi"
"1778341171418583551","Thu Apr 11 08:35:49 +0000 2024","0","Shalat id 1445 H Anjungan Pantai Losari Makassar #1syawal1445hijriah #anjunganlosari #shalatid #maaflahirbathin #sanusiramadhan #fyp https://t.co/D8kSlYJCVE","1778341171418583551","https://pbs.twimg.com/ext_tw_video_thumb/1778341077218705408/pu/img/6aFL0ocX69yWoObh.jpg","","in","Jl. Perintis Kemerdekan KM 9","0","0","0","https://x.com/perindo_sulsel/status/1778341171418583551","1616083041264467973","perindo_sulsel"
"1778278755750040024","Thu Apr 11 08:12:15 +0000 2024","0","@Chocosolvent Kek lagu mars perindo ","1778335238600700363","","Chocosolvent","in","Jakarta Capital Region, Indone","0","0","0","https://x.com/Billy_Naravit/status/1778335238600700363","1676426426768318464","Billy_Naravit"
"1778215836630888900","Thu Apr 11 00:17:47 +0000 2024","0","Akad Nikah HEPI TRIANA S.Pd &amp; HUSEIN RIFAI https://t.co/1xSvb86JYL lewat @YouTube","1778215836630888900","","","in","","0","0","0","https://x.com/AhmadPerindo/status/1778215836630888900","1449456776504512516","AhmadPerindo"
"1778214510152839393","Thu Apr 11 00:12:31 +0000 2024","0","Sholawat Nabi Muhammad SAW Merdu Terbaru 2023 Penyejuk Hati | Lagu Shola... https://t.co/UB4huuqi4L lewat @YouTube","1778214510152839393","","","in","","0","0","0","https://x.com/AhmadPerindo/status/1778214510152839393","1449456776504512516","AhmadPerindo"
"1778185325870981340","Wed Apr 10 22:16:33 +0000 2024","0","jupe BELAH DUREN julia perez @ lagu dangdut https://t.co/Chce9CoJu2 lewat @YouTube","1778185325870981340","","","in","","0","0","0","https://x.com/AhmadPerindo/status/1778185325870981340","1449456776504512516","AhmadPerindo"
"1778089018305228980","Wed Apr 10 15:57:34 +0000 2024","0","@wwwkidzy gua tau pasti bkl dengerin lagu partai perindo","1778089953890836577","","wwwkidzy","in","","0","1","0","https://x.com/ssupremie/status/1778089953890836577","1756633754439921664","ssupremie"
"1777313009393897914","Wed Apr 10 14:20:53 +0000 2024","0","@uHanJulie @ssefnum Please kamu perindo aja Kak Ju. ^__^ https://t.co/sCIGGlWhWk","1778065621965787430","https://pbs.twimg.com/tweet_video_thumb/GKz1QN1aUAARtUX.jpg","uHanJulie","in","","0","1","0","https://x.com/peripetea/status/1778065621965787430","1148171113601462273","peripetea"
"1778024678784975152","Wed Apr 10 11:55:10 +0000 2024","0","@destinysyoun Sudah ktemu clipnya sudah waktunya engraved di otak anak2 muda seperti mas perindo","1778028949513408801","","destinysyoun","in","JNB - FT - SURL. - SILCA","0","1","0","https://x.com/asgemgoby/status/1778028949513408801","756581322","asgemgoby"
